Title,Title,Category,Price,Instructor,Rating,Learners,Duration_Hours,Difficulty
Online Course,Coursera,#NAME?,Free / Paid,Andrew Ng,5,392427,47,Advanced
Online Course,Coursera,#NAME?,Free / Paid,University Faculty,3.6,182946,50,Advanced
Online Course,Coursera,#NAME?,Free / Paid,Microsoft Learn,4,460957,40,Advanced
Online Course,Coursera,#NAME?,Free / Paid,Andrew Ng,4.3,412367,27,Intermediate
Online Course,Coursera,#NAME?,Free / Paid,Microsoft Learn,3.8,383496,14,Intermediate
Online Course,Coursera,#NAME?,Free / Paid,Andrew Ng,3.5,72614,43,Advanced
Online Course,Coursera,#NAME?,Free / Paid,DeepLearning.AI,5,316921,16,Intermediate
Online Course,Coursera,#NAME?,Free / Paid,Google Cloud,4.8,424722,20,Intermediate
Security Principles,Coursera,#NAME?,Free / Paid,DeepLearning.AI,4.750788644,634,29,Intermediate
Online Course,Coursera,#NAME?,Free / Paid,Industry Expert,4.6,46636,27,Intermediate
"Grow Your Business with Goldman Sachs 10,000 Women",Coursera,10k-women-1,Free / Paid,University Faculty,4.793956044,1092,41,Advanced
Online Course,Coursera,10k-women-1-hi,Free / Paid,University Faculty,4.5,359581,36,Advanced
"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Coursera,10k-women-10,Free / Paid,Jose Portilla,4.629032258,496,28,Intermediate
Online Course,Coursera,10k-women-10-hi,Free / Paid,Microsoft Learn,4.2,59254,56,Advanced
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Coursera,10k-women-2,Free / Paid,IBM Team,4.707611153,1327,41,Advanced
Online Course,Coursera,10k-women-2-hi,Free / Paid,Google Cloud,4.4,47479,11,Intermediate
"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Coursera,10k-women-3,Free / Paid,Jose Portilla,4.722627737,685,21,Intermediate
Online Course,Coursera,10k-women-3-hi,Free / Paid,Industry Expert,3.9,284713,23,Intermediate
