Title,Platform,Category,Price,Instructor,Rating,Learners,Duration_Hours,Difficulty,Price_Type,Success_Score,Success
Online Course,0,0,Free / Paid,0,5.0,392427,47,0,0,6.141024204392648,1
Online Course,0,0,Free / Paid,8,3.6,182946,50,0,0,3.6243177306781074,1
Online Course,0,0,Free / Paid,7,4.0,460957,40,0,0,6.089545047064097,1
Online Course,0,0,Free / Paid,0,4.3,412367,27,2,0,5.880625920471281,1
Online Course,0,0,Free / Paid,7,3.8,383496,14,2,0,5.34953960427739,1
Online Course,0,0,Free / Paid,0,3.5,72614,43,0,0,2.6812095793046042,0
Online Course,0,0,Free / Paid,1,5.0,316921,16,2,0,5.536666773387974,1
Online Course,0,0,Free / Paid,2,4.8,424722,20,2,0,6.279516552474867,1
Security Principles,0,0,Free / Paid,1,4.750788644,634,29,2,0,2.8555477845942754,0
Online Course,0,0,Free / Paid,4,4.6,46636,27,2,0,3.133279118908881,1
"Grow Your Business with Goldman Sachs 10,000 Women",0,1,Free / Paid,8,4.793956044,1092,41,0,0,2.885114101523263,0
Online Course,0,2,Free / Paid,8,4.5,359581,36,0,0,5.578121598258308,1
"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",0,3,Free / Paid,5,4.629032258,496,28,2,0,2.78138938745672,0
Online Course,0,4,Free / Paid,7,4.2,59254,56,0,0,2.994274828712301,0
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",0,5,Free / Paid,3,4.707611153,1327,41,0,0,2.835188129976346,0
Online Course,0,6,Free / Paid,2,4.4,47479,11,2,0,3.020026573605686,1
"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",0,7,Free / Paid,5,4.722627737,685,21,2,0,2.839059449397285,0
Online Course,0,8,Free / Paid,4,3.9,284713,23,2,0,4.618870781840302,1
"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",0,9,Free / Paid,7,4.783382789,337,39,0,0,2.8727270544591024,0
Online Course,0,10,Free / Paid,3,4.5,467168,27,2,0,6.43925850035218,1
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",0,11,Free / Paid,3,4.676829268,492,37,0,0,2.810035577064327,0
Online Course,0,12,Free / Paid,6,4.9,313996,38,0,0,5.453254786450662,1
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",0,13,Free / Paid,4,4.608494208,1295,21,2,0,2.7754618318372026,0
Online Course,0,14,Free / Paid,6,3.6,213101,12,2,0,3.865681308830121,1
"Fundamentals of Operations, with Goldman Sachs 10,000 Women",0,15,Free / Paid,4,4.625,376,10,1,0,2.778009540884933,0
Online Course,0,16,Free / Paid,1,4.9,197900,31,0,0,4.524011013638983,1
"Fundamentals of Management, with Goldman Sachs 10,000 Women",0,17,Free / Paid,3,4.72892562,605,40,0,0,2.8421978513494266,0
Online Course,0,18,Free / Paid,6,4.6,365989,7,1,0,5.6894118588717415,1
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",0,19,Free / Paid,7,4.653543307,254,17,2,0,2.794159025116949,0
Online Course,0,20,Free / Paid,2,3.6,297001,12,2,0,4.537225139271307,1
Online Course,0,21,Free / Paid,3,3.7,218926,46,0,0,3.972305180252289,1
"Fundamentos de NegociaÃ§Ã£o com o 10,000 Women da Goldman Sachs",0,22,Free / Paid,8,4.924528302,53,44,0,0,2.9551411983992057,0
Online Course,0,23,Free / Paid,4,4.4,82726,46,0,0,3.3021470192738684,1
"Fundamentos de LideranÃ§a com o 10,000 Women da Goldman Sachs",0,24,Free / Paid,6,4.825688073,109,58,0,0,2.8962852904927066,0
Online Course,0,25,Free / Paid,4,4.3,498551,16,2,0,6.570451110968816,1
Online Course,0,26,Free / Paid,4,4.0,271170,6,1,0,4.570471281296023,1
"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",0,27,Free / Paid,8,4.863636364,66,8,1,0,2.9187100888744832,0
Online Course,0,28,Free / Paid,0,4.7,233318,20,2,0,4.687500160081962,1
Online Course,0,29,Free / Paid,4,3.9,125463,47,0,0,3.344218159697765,1
Online Course,0,30,Free / Paid,8,4.4,315889,25,2,0,5.168406544150605,1
"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",0,31,Free / Paid,3,4.871287129,101,18,2,0,2.9235806913079205,0
Online Course,0,32,Free / Paid,5,3.6,310646,11,2,0,4.646441057821605,1
Online Course,0,33,Free / Paid,8,3.9,360535,59,0,0,5.2257575078440155,1
"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",0,34,Free / Paid,8,4.783783784,111,16,2,0,2.871158725288903,0
"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",0,35,Free / Paid,2,4.88372093,86,53,0,0,2.930920910436447,0
"Fundamentos de la PlanificaciÃ³n Financiera con Goldman Sachs 10,000 Women",0,36,Free / Paid,2,4.666666667,54,13,2,0,2.8004322214973043,0
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",0,37,Free / Paid,8,4.757281553,206,12,2,0,2.856017776008235,0
Online Course,0,38,Free / Paid,5,4.4,237736,55,0,0,4.5428622654799256,1
Online Course,0,39,Free / Paid,2,5.0,60436,27,2,0,3.483735672664404,1
Online Course,0,40,Free / Paid,4,4.1,37869,49,0,0,2.763107190881731,0
Online Course,0,41,Free / Paid,7,3.5,262602,13,2,0,4.201892168790421,1
Online Course,0,42,Free / Paid,6,4.2,223762,59,0,0,4.311012998655311,1
Online Course,0,43,Free / Paid,8,3.7,456630,35,0,0,5.8749113145930725,1
Online Course,0,44,Free / Paid,6,4.9,94635,51,0,0,3.697467823525645,1
Online Course,0,45,Free / Paid,7,4.9,237419,18,2,0,4.840324966382788,1
Online Course,0,46,Free / Paid,7,4.5,373573,38,0,0,5.690114938848691,1
Online Course,0,47,Free / Paid,4,3.9,487220,31,0,0,6.239756675417814,1
Online Course,0,48,Free / Paid,0,4.4,278644,50,0,0,4.870293910482167,1
Online Course,0,49,Free / Paid,5,3.9,48502,10,1,0,2.7282147659601717,0
Online Course,0,50,Free / Paid,0,4.5,426735,44,0,0,6.115628801946596,1
"Digital Marketing Strategy with Goldman Sachs 10,000 Women",0,51,Free / Paid,3,4.702643172,908,42,0,0,2.828853624273189,0
"Innovation Strategy with Goldman Sachs 10,000 Women ",0,52,Free / Paid,2,4.722891566,83,14,2,0,2.834399279742153,0
"Social Impact Strategy with Goldman Sachs 10,000 Women",0,53,Free / Paid,1,4.779411765,68,9,1,0,2.8681913376706794,0
